#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Candidatus Nanosynbacter lyticus,Bacteria;Bacteria incertae sedis;Bacteria candidate phyla,TM7x,SAMN02693873,PRJNA241438,GCA_000803625.1,Complete,"0,705138","44,5",chromosome:NZ_CP007496.1/CP007496.1,,1,698,2014-12-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/803/625/GCA_000803625.1_ASM80362v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/803/625/GCF_000803625.1_ASM80362v1
Candidatus Saccharimonas aalborgensis,Bacteria;Bacteria incertae sedis;Bacteria candidate phyla,TM71,SAMN02602963,PRJNA201542,GCA_000392435.1,Complete,"1,01378","48,5",chromosome:NC_021219.1/CP005957.1,,1,1029,2013-05-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/435/GCA_000392435.1_ASM39243v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/435/GCF_000392435.1_ASM39243v1
Caldisericum exile AZM16c01,Bacteria;Caldiserica/Cryosericota group;Caldiserica,AZM16c01,SAMD00061110,PRJNA41615,GCA_000284335.1,Complete,"1,5581","35,4",chromosome:NC_017096.1/AP012051.1,,1,1502,2012-03-28T23:04:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/335/GCA_000284335.1_ASM28433v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/335/GCF_000284335.1_ASM28433v1
Caldithrix abyssi DSM 13497,Bacteria;Calditrichaeota;Calditrichia,LF13,SAMN05946030,PRJNA350778,GCA_001886815.1,Complete,"4,97854","45,1",chromosome:NZ_CP018099.1/CP018099.1,,1,3787,2016-11-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/815/GCA_001886815.1_ASM188681v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/815/GCF_001886815.1_ASM188681v1
Desulfurispirillum indicum S5,Bacteria;Chrysiogenetes;Chrysiogenetes,S5,SAMN02232016,PRJNA38575,GCA_000177635.2,Complete,"2,92838","56,1",chromosome:NC_014836.1/CP002432.1,,1,2566,2011-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/635/GCA_000177635.2_ASM17763v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/635/GCF_000177635.2_ASM17763v2
Coprothermobacter proteolyticus DSM 5265,Bacteria;Coprothermobacterota;Coprothermobacteria,DSM 5265,SAMN02603927,PRJNA30729,GCA_000020945.1,Complete,"1,42491","44,8",chromosome:NC_011295.1/CP001145.1,,1,1408,2008-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/945/GCA_000020945.1_ASM2094v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/945/GCF_000020945.1_ASM2094v1
Calditerrivibrio nitroreducens DSM 19672,Bacteria;Deferribacteres;Deferribacteres,DSM 19672,SAMN00102793,PRJNA49523,GCA_000183405.1,Complete,"2,21655","35,6755",chromosome:NC_014758.1/CP002347.1; plasmid pCALNI01:NC_014749.1/CP002348.1,,2,2115,2010-11-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/405/GCA_000183405.1_ASM18340v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/405/GCF_000183405.1_ASM18340v1
Deferribacter desulfuricans SSM1,Bacteria;Deferribacteres;Deferribacteres,SSM1,SAMD00060965,PRJDA37285,GCA_000010985.1,Complete,"2,54293","30,2992",chromosome:NC_013939.1/AP011529.1; plasmid megaplasmid pDF308:NC_013940.1/AP011530.1,,2,2454,2010-03-05T23:06:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/985/GCA_000010985.1_ASM1098v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/985/GCF_000010985.1_ASM1098v1
Denitrovibrio acetiphilus DSM 12809,Bacteria;Deferribacteres;Deferribacteres,DSM 12809,SAMN02598464,PRJNA29431,GCA_000025725.1,Complete,"3,22208","42,5",chromosome:NC_013943.1/CP001968.1,,1,2999,2010-03-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/725/GCA_000025725.1_ASM2572v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/725/GCF_000025725.1_ASM2572v1
Flexistipes sinusarabici DSM 4947,Bacteria;Deferribacteres;Deferribacteres,DSM 4947,SAMN02232022,PRJNA45817,GCA_000218625.1,Complete,"2,52659","38,3",chromosome:NC_015672.1/CP002858.1,,1,2319,2011-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/625/GCA_000218625.1_ASM21862v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/625/GCF_000218625.1_ASM21862v1
Geovibrio thiophilus,Bacteria;Deferribacteres;Deferribacteres,DSM 11263,SAMN10724383,PRJNA514423,GCA_004087915.1,Complete,"2,99755","48,1",chromosome:NZ_CP035108.1/CP035108.1,,1,2699,2019-01-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/087/915/GCA_004087915.1_ASM408791v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/087/915/GCF_004087915.1_ASM408791v1
Dictyoglomus thermophilum H-6-12,Bacteria;Dictyoglomi;Dictyoglomia,H-6-12; ATCC 35947,SAMN02603928,PRJNA30731,GCA_000020965.1,Complete,"1,95999","33,7",chromosome:NC_011297.1/CP001146.1,,1,1864,2008-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/965/GCA_000020965.1_ASM2096v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/965/GCF_000020965.1_ASM2096v1
Dictyoglomus turgidum DSM 6724,Bacteria;Dictyoglomi;Dictyoglomia,DSM 6724,SAMN00002661,PRJNA29175,GCA_000021645.1,Complete,"1,85556",34,chromosome:NC_011661.1/CP001251.1,,1,1803,2008-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/645/GCA_000021645.1_ASM2164v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/645/GCF_000021645.1_ASM2164v1
Elusimicrobium minutum Pei191,Bacteria;Elusimicrobia;Elusimicrobia,Pei191,SAMN00000042,PRJNA19701,GCA_000020145.1,Complete,"1,64356",40,chromosome:NC_010644.1/CP001055.1,,1,1463,2008-04-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/145/GCA_000020145.1_ASM2014v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/145/GCF_000020145.1_ASM2014v1
Candidatus Endomicrobium trichonymphae,Bacteria;Elusimicrobia;Endomicrobia,Rs-D17 genomovar Ri2008,SAMD00232923,PRJDA20871,GCA_000146025.1,Complete,"1,14857","35,1773",chromosome:NC_020419.1/AP009510.1; plasmid pTGRD1:NC_020420.1/AP009511.1; plasmid pTGRD2:NC_020421.1/AP009512.1; plasmid pTGRD3:NC_020422.1/AP009513.1,,4,1103,2008-03-18T23:05:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/025/GCA_000146025.1_ASM14602v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/025/GCF_000146025.2_ASM14602v1
Endomicrobium proavitum,Bacteria;Elusimicrobia;Endomicrobia,Rsa215,SAMN03771261,PRJNA222699,GCA_001027545.1,Complete,"1,58898","39,3",chromosome:NZ_CP009498.1/CP009498.1,,1,1339,2015-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/545/GCA_001027545.1_ASM102754v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/545/GCF_001027545.1_ASM102754v1
Adhaeribacter radiodurans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,KUDC8001,SAMN15236426,PRJNA639424,GCA_014075995.1,Complete,"6,93561","40,7843",chromosome:NZ_CP055153.1/CP055153.1; plasmid unnamed:NZ_CP055152.1/CP055152.1,,2,5221,2020-08-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/075/995/GCA_014075995.1_ASM1407599v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/075/995/GCF_014075995.1_ASM1407599v1
Adhaeribacter swui,Bacteria;FCB group;Bacteroidetes/Chlorobi group,KCTC 52873,SAMN15236438,PRJNA639429,GCA_014217805.1,Complete,"6,22591","43,0367",chromosome:NZ_CP055156.1/CP055156.1; plasmid unnamed1:NZ_CP055154.1/CP055154.1; plasmid unnamed2:NZ_CP055155.1/CP055155.1,,3,4807,2020-08-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/217/805/GCA_014217805.1_ASM1421780v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/217/805/GCF_014217805.1_ASM1421780v1
Aegicerativicinus sediminis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,SM2-F,SAMN16657555,PRJNA674463,GCA_015476115.1,Complete,"4,09424",36,chromosome:NZ_CP064295.1/CP064295.1,,1,3475,2020-11-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/476/115/GCA_015476115.1_ASM1547611v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/115/GCF_015476115.1_ASM1547611v1
Aequorivita sublithincola DSM 14238,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 14238,SAMN02232006,PRJNA46631,GCA_000265385.1,Complete,"3,52067","36,2",chromosome:NC_018013.1/CP003280.1,,1,3137,2012-06-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/385/GCA_000265385.1_ASM26538v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/385/GCF_000265385.1_ASM26538v1
Algibacter alginicilyticus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,HZ22,SAMN04156175,PRJNA298144,GCA_001310225.1,Complete,"3,99477","31,8",chromosome:NZ_CP012898.1/CP012898.1,,1,3295,2015-10-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/310/225/GCA_001310225.1_ASM131022v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/310/225/GCF_001310225.1_ASM131022v1
Algoriphagus sanaruensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,M8-2,SAMN04111281,PRJNA296932,GCA_001593605.1,Complete,"3,88261","41,4",chromosome:NZ_CP012836.1/CP012836.1,,1,3298,2016-03-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/605/GCA_001593605.1_ASM159360v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/605/GCF_001593605.1_ASM159360v1
Alistipes communis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,5CBH24,SAMD00166231,PRJDB8150,GCA_006542665.1,Complete,"3,30135","58,5",chromosome:NZ_AP019735.1/AP019735.1,,1,2635,2019-06-12T23:06:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/542/665/GCA_006542665.1_Acom_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/665/GCF_006542665.1_Acom_1.0
Alistipes dispar,Bacteria;FCB group;Bacteroidetes/Chlorobi group,5CPEGH6,SAMD00166232,PRJDB8150,GCA_006542685.1,Complete,"2,96238","61,3",chromosome:NZ_AP019736.1/AP019736.1,,1,2397,2019-06-12T23:06:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/542/685/GCA_006542685.1_Adis_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/685/GCF_006542685.1_Adis_1.0
Alistipes indistinctus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2BBH45,SAMD00216626,PRJDB9565,GCA_014163495.1,Complete,"3,09558","54,61",chromosome:NZ_AP023049.1/AP023049.1; plasmid p2BBH45:NZ_AP023050.1/AP023050.1,,2,2443,2020-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/163/495/GCA_014163495.1_ASM1416349v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/163/495/GCF_014163495.1_ASM1416349v1
Alistipes megaguti,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Marseille-P5997,SAMEA4983370,PRJEB28786,GCA_900604385.1,Complete,"3,27086","58,6",chromosome contig00001:NZ_LR027382.1/LR027382.1,,1,2576,2018-10-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/604/385/GCA_900604385.1_PRJEB28786,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/604/385/GCF_900604385.1_PRJEB28786
Alistipes onderdonkii subsp. vulgaris,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3BBH6,SAMD00166230,PRJDB8150,GCA_006542645.1,Complete,"3,50749",58,chromosome:NZ_AP019734.1/AP019734.1,,1,2876,2019-06-12T23:05:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/542/645/GCA_006542645.1_Aond_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/645/GCF_006542645.1_Aond_1.0
Alkalitalea saponilacus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,SC/BZ-SP2,SAMN07200443,PRJNA389474,GCA_002201795.1,Complete,"4,77557","39,3",chromosome:NZ_CP021904.1/CP021904.1,,1,3546,2017-06-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/201/795/GCA_002201795.1_ASM220179v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/795/GCF_002201795.1_ASM220179v1
Antarcticibacterium arcticum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,PAMC 28998,SAMN12144329,PRJNA551306,GCA_007993795.1,Complete,"3,40918","39,8",chromosome:NZ_CP042476.1/CP042476.1,,1,2997,2019-08-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/993/795/GCA_007993795.1_ASM799379v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/993/795/GCF_007993795.1_ASM799379v1
Antarcticibacterium flavum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,KCTC 52984,SAMN11935687,PRJNA545845,GCA_006159205.1,Complete,"4,35368","40,9",chromosome:NZ_CP040812.1/CP040812.1,,1,3694,2019-06-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/159/205/GCA_006159205.1_ASM615920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/159/205/GCF_006159205.1_ASM615920v1
Apibacter raozihei,Bacteria;FCB group;Bacteroidetes/Chlorobi group,HY041,SAMN10691118,PRJNA512963,GCA_004014855.1,Complete,"3,29305","32,2",chromosome:NZ_CP034930.1/CP034930.1,,1,2866,2019-01-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/014/855/GCA_004014855.1_ASM401485v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/855/GCF_004014855.1_ASM401485v1
Aquirufa nivalisilvae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,HME7025,SAMN09065711,PRJNA449135,GCA_003143535.1,Complete,"3,11629","37,9",chromosome:NZ_CP029346.1/CP029346.1,,1,2599,2018-05-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/143/535/GCA_003143535.1_ASM314353v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/143/535/GCF_003143535.1_ASM314353v1
Arachidicoccus ginsenosidivorans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Gsoil 809,SAMN12478316,PRJNA558430,GCA_007971385.1,Complete,"5,77315","41,1",chromosome:NZ_CP042434.1/CP042434.1,,1,4618,2019-08-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/971/385/GCA_007971385.1_ASM797138v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/971/385/GCF_007971385.1_ASM797138v1
Arachidicoccus soli,Bacteria;FCB group;Bacteroidetes/Chlorobi group,KIS59-12,SAMN10095285,PRJNA492230,GCA_003600625.1,Complete,"4,09966","36,4",chromosome:NZ_CP032489.1/CP032489.1,,1,3335,2018-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/600/625/GCA_003600625.1_ASM360062v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/600/625/GCF_003600625.1_ASM360062v1
Arcticibacterium luteifluviistationis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,SM1504,SAMN09208224,PRJNA471374,GCA_003258705.1,Complete,"5,37984","37,2",chromosome:NZ_CP029480.1/CP029480.1,,1,4342,2018-06-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/258/705/GCA_003258705.1_ASM325870v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/705/GCF_003258705.1_ASM325870v1
Arenibacter algicola,Bacteria;FCB group;Bacteroidetes/Chlorobi group,SMS7,SAMN07322679,PRJNA380207,GCA_002234495.1,Complete,"5,85778","39,8442",chromosome:NZ_CP022515.1/CP022515.1; plasmid pSMS7:NZ_CP022516.1/CP022516.1,,2,4793,2017-07-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/495/GCA_002234495.1_ASM223449v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/495/GCF_002234495.1_ASM223449v1
Bacteroides caecimuris,Bacteria;FCB group;Bacteroidetes/Chlorobi group,I48,SAMN04621613,PRJNA317592,GCA_001688725.2,Complete,"4,83993","42,6",chromosome:NZ_CP015401.2/CP015401.2,,1,3782,2016-07-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/688/725/GCA_001688725.2_ASM168872v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/725/GCF_001688725.2_ASM168872v2
Bacteroides cellulosilyticus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,CL06T03C01,SAMN16451184,PRJNA669351,GCA_018292125.1,Complete,"7,27107","42,7982",chromosome:NZ_CP072251.1/CP072251.1; plasmid pBcelCL06T03-1:NZ_CP072252.1/CP072252.1; plasmid pMMCAT_BcelCL06T03:NZ_CP072253.1/CP072253.1,,3,5457,2021-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/292/125/GCA_018292125.1_ASM1829212v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/292/125/GCF_018292125.1_ASM1829212v1
Bacteroides faecis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,BFG-108,SAMN15547144,PRJNA646575,GCA_020091505.1,Complete,"6,35223","42,5629",chromosome:NZ_CP081916.1/CP081916.1; plasmid unnamed1:NZ_CP081914.1/CP081914.1; plasmid unnamed2:NZ_CP081915.1/CP081915.1,,3,4842,2021-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/505/GCA_020091505.1_ASM2009150v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/505/GCF_020091505.1_ASM2009150v1
Bacteroides fragilis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,FDAARGOS_1225,SAMN16357367,PRJNA231221,GCA_016889925.1,Complete,"5,24894","43,1906",chromosome:NZ_CP069563.1/CP069563.1; plasmid unnamed:NZ_CP069564.1/CP069564.1,,2,4183,2021-02-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/889/925/GCA_016889925.1_ASM1688992v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/889/925/GCF_016889925.1_ASM1688992v1
Bacteroides helcogenes P 36-108,Bacteria;FCB group;Bacteroidetes/Chlorobi group,P 36-108,SAMN00138952,PRJNA41913,GCA_000186225.1,Complete,"3,99891","44,7",chromosome:NC_014933.1/CP002352.1,,1,3205,2011-01-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/225/GCA_000186225.1_ASM18622v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/225/GCF_000186225.1_ASM18622v1
Bacteroides heparinolyticus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,F0111,SAMN08439035,PRJNA282954,GCA_002998535.1,Complete,"3,60898","47,2",chromosome:NZ_CP027234.1/CP027234.1,,1,2710,2018-03-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/998/535/GCA_002998535.1_ASM299853v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/998/535/GCF_002998535.1_ASM299853v1
Bacteroides luhongzhouii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,HF-5141,SAMN12815340,PRJNA573513,GCA_009193295.2,Complete,"5,76009","41,5",chromosome:NZ_CP059973.1/CP059973.1,,1,4231,2020-08-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/193/295/GCA_009193295.2_ASM919329v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/193/295/GCF_009193295.2_ASM919329v2
Bacteroides nordii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,FDAARGOS_1461,SAMN20888878,PRJNA231221,GCA_019930665.1,Complete,"5,67858","40,6",chromosome:NZ_CP082886.1/CP082886.1,,1,4196,2021-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/930/665/GCA_019930665.1_ASM1993066v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/930/665/GCF_019930665.1_ASM1993066v1
Bacteroides ovatus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,ATCC 8483,SAMN03852683,PRJNA289334,GCA_001314995.1,Complete,"6,47249","41,9",chromosome:NZ_CP012938.1/CP012938.1,,1,4759,2015-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/995/GCA_001314995.1_ASM131499v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/995/GCF_001314995.1_ASM131499v1
Bacteroides stercoris,Bacteria;FCB group;Bacteroidetes/Chlorobi group,BFG-121,SAMN15547175,PRJNA646575,GCA_020091485.1,Complete,"3,88383","45,8",chromosome:NZ_CP081913.1/CP081913.1,,1,3095,2021-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/485/GCA_020091485.1_ASM2009148v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/485/GCF_020091485.1_ASM2009148v1
Bacteroides thetaiotaomicron,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 2079,SAMN11776005,PRJNA543750,GCA_014131755.1,Complete,"6,30419","42,9225",chromosome:NZ_CP040530.1/CP040530.1; plasmid p_Bt:NZ_CP040529.1/CP040529.1,,2,4690,2020-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/131/755/GCA_014131755.1_ASM1413175v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/131/755/GCF_014131755.1_ASM1413175v1
Bacteroides uniformis CL03T12C37,Bacteria;FCB group;Bacteroidetes/Chlorobi group,CL03T12C37,SAMN16451181,PRJNA669351,GCA_018292165.1,Complete,"4,92016","46,1726",chromosome:NZ_CP072255.1/CP072255.1; plasmid pBuniCL03T12-1:NZ_CP072256.1/CP072256.1,,2,3937,2021-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/292/165/GCA_018292165.1_ASM1829216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/292/165/GCF_018292165.1_ASM1829216v1
Bacteroides xylanisolvens,Bacteria;FCB group;Bacteroidetes/Chlorobi group,CL11T00C03,SAMN16451198,PRJNA669351,GCA_018289135.1,Complete,"6,55852","42,0383",chromosome:NZ_CP072216.1/CP072216.1; plasmid pBxylCL11T00C03-1:NZ_CP072217.1/CP072217.1; plasmid pBxylCL11T00C03-2:NZ_CP072218.1/CP072218.1; plasmid pMMCAT_BxylCL11T00-1:NZ_CP072219.1/CP072219.1,,4,5179,2021-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/289/135/GCA_018289135.1_ASM1828913v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/289/135/GCF_018289135.1_ASM1828913v1
Bacteroides zoogleoformans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,ATCC 33285,SAMN08472433,PRJNA282954,GCA_002998435.1,Complete,"3,36179","47,5",chromosome:NZ_CP027231.1/CP027231.1,,1,2621,2018-03-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/998/435/GCA_002998435.1_ASM299843v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/998/435/GCF_002998435.1_ASM299843v1
Barnesiella viscericola DSM 18177,Bacteria;FCB group;Bacteroidetes/Chlorobi group,"C46, DSM 18177",SAMN02769649,PRJNA51771,GCA_000512915.1,Complete,"3,07686","51,7",chromosome:NZ_CP007034.1/CP007034.1,,1,2450,2014-01-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/915/GCA_000512915.1_ASM51291v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/915/GCF_000512915.1_ASM51291v1
Belliella baltica DSM 15883,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 15883,SAMN02232009,PRJNA50619,GCA_000265405.1,Complete,"4,1966","36,8",chromosome:NC_018010.1/CP003281.1,,1,3701,2012-06-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/405/GCA_000265405.1_ASM26540v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/405/GCF_000265405.1_ASM26540v1
Bernardetia litoralis DSM 6794,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 6794,SAMN02261370,PRJNA51775,GCA_000265505.1,Complete,"4,91934","30,7",chromosome:NC_018018.1/CP003345.1,,1,3975,2012-06-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/505/GCA_000265505.1_ASM26550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/505/GCF_000265505.1_ASM26550v1
